OrderNumber;Date;CustomerId
100171;2007-04-01;17000
100172;2007-04-01;18000
100173;2007-04-01;22000
100174;2007-04-01;22000
100175;2007-04-01;23000
100176;2007-04-01;23000
100177;2007-04-02;14000
100178;2007-04-02;15000
100179;2007-04-02;16000
100180;2007-04-02;17000
100181;2007-04-02;17000
100182;2007-04-02;22000
100183;2007-04-02;23000
100184;2007-04-02;23000
100185;2007-04-03;13000
100186;2007-04-03;16000
100187;2007-04-03;19000
100188;2007-04-03;20000
100189;2007-04-03;21000
100190;2007-04-03;23000
100191;2007-04-03;24000
100192;2007-04-04;13000
100193;2007-04-04;16000
100194;2007-04-04;17000
100195;2007-04-04;21000
100196;2007-04-04;22000
100197;2007-04-04;23000
100198;2007-04-04;23000
100199;2007-04-05;13000
100200;2007-04-05;13000
100201;2007-04-05;14000
100202;2007-04-05;15000
100203;2007-04-05;16000
100204;2007-04-05;18000
100205;2007-04-05;22000
100206;2007-04-05;23000
100207;2007-04-06;13000
100208;2007-04-06;13000
100209;2007-04-06;15000
100210;2007-04-06;16000
100211;2007-04-06;17000
100212;2007-04-06;20000
100213;2007-04-06;24000
100214;2007-04-07;13000
100215;2007-04-07;15000
100216;2007-04-07;20000
100217;2007-04-07;22000
100218;2007-04-08;15000
100219;2007-04-08;15000
100220;2007-04-08;17000
100221;2007-04-08;21000
100222;2007-04-08;22000
100223;2007-04-09;13000
100224;2007-04-09;14000
100225;2007-04-09;15000
100226;2007-04-09;16000
100227;2007-04-09;17000
100228;2007-04-09;17000
100229;2007-04-09;23000
100230;2007-04-10;13000
100231;2007-04-10;14000
100232;2007-04-10;15000
100233;2007-04-10;16000
100234;2007-04-10;17000
100235;2007-04-10;19000
100236;2007-04-10;22000
100237;2007-04-11;13000
100238;2007-04-11;13000
100239;2007-04-11;18000
100240;2007-04-11;20000
100241;2007-04-11;22000
100242;2007-04-12;13000
100243;2007-04-12;13000
100244;2007-04-12;14000
100245;2007-04-12;15000
100246;2007-04-12;16000
100247;2007-04-12;17000
100248;2007-04-12;18000
100249;2007-04-12;23000
100250;2007-04-12;24000
100251;2007-04-13;13000
100252;2007-04-13;14000
100253;2007-04-13;17000
100254;2007-04-13;20000
100255;2007-04-14;13000
100256;2007-04-14;14000
100257;2007-04-14;14000
100258;2007-04-14;19000
100259;2007-04-14;23000
100260;2007-04-14;24000
100261;2007-04-15;15000
100262;2007-04-15;15000
100263;2007-04-15;16000
100264;2007-04-15;17000
100265;2007-04-15;19000
100266;2007-04-15;22000
100267;2007-04-15;24000
100268;2007-04-15;24000
100269;2007-04-16;16000
100270;2007-04-16;20000
100271;2007-04-16;20000
100272;2007-04-16;20000
100273;2007-04-16;22000
100274;2007-04-16;23000
100275;2007-04-16;24000
100276;2007-04-17;14000
100277;2007-04-17;17000
100278;2007-04-17;18000
100279;2007-04-17;23000
100280;2007-04-17;23000
100281;2007-04-18;15000
100282;2007-04-18;17000
100283;2007-04-18;18000
100284;2007-04-18;22000
100285;2007-04-18;24000
100286;2007-04-19;15000
100287;2007-04-19;16000
100288;2007-04-19;21000
100289;2007-04-19;22000
100290;2007-04-19;23000
100291;2007-04-20;14000
100292;2007-04-20;14000
100293;2007-04-20;17000
100294;2007-04-20;17000
100295;2007-04-20;22000
100296;2007-04-20;23000
100297;2007-04-20;24000
100298;2007-04-21;14000
100299;2007-04-21;15000
100300;2007-04-21;18000
100301;2007-04-21;19000
100302;2007-04-21;22000
100303;2007-04-21;24000
100304;2007-04-22;14000
100305;2007-04-22;16000
100306;2007-04-22;16000
100307;2007-04-22;19000
100308;2007-04-22;20000
100309;2007-04-22;23000
100310;2007-04-23;18000
100311;2007-04-23;19000
100312;2007-04-23;20000
100313;2007-04-23;21000
100314;2007-04-24;16000
100315;2007-04-24;16000
100316;2007-04-24;16000
100317;2007-04-24;17000
100318;2007-04-24;19000
100319;2007-04-24;22000
100320;2007-04-25;15000
100321;2007-04-25;15000
100322;2007-04-25;19000
100323;2007-04-25;22000
100324;2007-04-26;13000
100325;2007-04-26;16000
100326;2007-04-26;16000
100327;2007-04-26;16000
100328;2007-04-26;16000
100329;2007-04-26;17000
100330;2007-04-26;19000
100331;2007-04-26;20000
100332;2007-04-26;23000
100333;2007-04-26;23000
100334;2007-04-27;13000
100335;2007-04-27;17000
100336;2007-04-27;20000
100337;2007-04-27;21000
100338;2007-04-27;23000
100339;2007-04-28;13000
100340;2007-04-28;20000
100341;2007-04-28;24000
100342;2007-04-29;15000
100343;2007-04-29;15000
100344;2007-04-29;21000
100345;2007-04-29;23000
100346;2007-04-29;24000
100347;2007-04-30;13000
100348;2007-04-30;14000
100349;2007-04-30;15000
100350;2007-04-30;15000
100351;2007-04-30;18000
100352;2007-04-30;19000
100353;2007-04-30;23000
100354;2007-04-30;24000
100355;2007-05-01;14000
100356;2007-05-01;15000
100357;2007-05-01;15000
100358;2007-05-01;15000
100359;2007-05-01;15000
100360;2007-05-01;18000
100361;2007-05-01;19000
100362;2007-05-01;23000
100363;2007-05-01;23000
100364;2007-05-01;23000
100365;2007-05-02;13000
100366;2007-05-02;13000
100367;2007-05-02;15000
100368;2007-05-02;22000
100369;2007-05-02;22000
100370;2007-05-02;22000
100371;2007-05-02;22000
100372;2007-05-03;14000
100373;2007-05-03;16000
100374;2007-05-03;22000
100375;2007-05-04;15000
100376;2007-05-04;15000
100377;2007-05-04;16000
100378;2007-05-04;17000
100379;2007-05-04;23000
100380;2007-05-05;13000
100381;2007-05-05;20000
100382;2007-05-05;20000
100383;2007-05-05;22000
100384;2007-05-06;13000
100385;2007-05-06;14000
100386;2007-05-06;15000
100387;2007-05-06;15000
100388;2007-05-06;19000
100389;2007-05-06;20000
100390;2007-05-06;22000
100391;2007-05-06;22000
100392;2007-05-06;22000
100393;2007-05-06;23000
100394;2007-05-07;14000
100395;2007-05-07;15000
100396;2007-05-07;16000
100397;2007-05-07;18000
100398;2007-05-07;20000
100399;2007-05-07;21000
100400;2007-05-07;22000
100401;2007-05-07;22000
100402;2007-05-07;22000
100403;2007-05-07;23000
100404;2007-05-08;16000
100405;2007-05-08;17000
100406;2007-05-08;18000
100407;2007-05-08;19000
100408;2007-05-08;23000
100409;2007-05-08;23000
100410;2007-05-08;23000
100411;2007-05-08;24000
100412;2007-05-09;15000
100413;2007-05-09;16000
100414;2007-05-09;16000
100415;2007-05-09;16000
100416;2007-05-09;18000
100417;2007-05-09;19000
100418;2007-05-09;22000
100419;2007-05-10;13000
100420;2007-05-10;15000
100421;2007-05-10;22000
100422;2007-05-11;16000
100423;2007-05-11;17000
100424;2007-05-11;23000
100425;2007-05-12;15000
100426;2007-05-12;16000
100427;2007-05-12;18000
100428;2007-05-12;20000
100429;2007-05-12;21000
100430;2007-05-13;13000
100431;2007-05-13;13000
100432;2007-05-13;14000
100433;2007-05-13;15000
100434;2007-05-13;15000
100435;2007-05-13;16000
100436;2007-05-13;21000
100437;2007-05-13;22000
100438;2007-05-13;23000
100439;2007-05-13;23000
100440;2007-05-13;24000
100441;2007-05-13;24000
100442;2007-05-13;24000
100443;2007-05-14;13000
100444;2007-05-14;15000
100445;2007-05-14;15000
100446;2007-05-14;17000
100447;2007-05-14;18000
100448;2007-05-14;20000
100449;2007-05-14;22000
100450;2007-05-14;23000
100451;2007-05-15;15000
100452;2007-05-15;16000
100453;2007-05-15;17000
100454;2007-05-15;19000
100455;2007-05-15;19000
100456;2007-05-15;19000
100457;2007-05-15;23000
100458;2007-05-15;23000
100459;2007-05-16;14000
100460;2007-05-16;14000
100461;2007-05-16;14000
100462;2007-05-16;14000
100463;2007-05-16;15000
100464;2007-05-16;16000
100465;2007-05-16;18000
100466;2007-05-16;19000
100467;2007-05-16;22000
100468;2007-05-16;24000
100469;2007-05-17;14000
100470;2007-05-17;15000
100471;2007-05-17;16000
100472;2007-05-17;17000
100473;2007-05-17;18000
100474;2007-05-17;19000
100475;2007-05-17;23000
100476;2007-05-17;24000
100477;2007-05-17;24000
100478;2007-05-18;15000
100479;2007-05-18;15000
100480;2007-05-18;15000
100481;2007-05-18;17000
100482;2007-05-18;20000
100483;2007-05-19;13000
100484;2007-05-19;14000
100485;2007-05-19;17000
100486;2007-05-19;18000
100487;2007-05-19;23000
100488;2007-05-19;23000
100489;2007-05-19;24000
100490;2007-05-20;14000
100491;2007-05-20;18000
100492;2007-05-20;19000
100493;2007-05-20;23000
100494;2007-05-21;15000
100495;2007-05-21;15000
100496;2007-05-21;15000
100497;2007-05-21;16000
100498;2007-05-21;18000
100499;2007-05-21;18000
100500;2007-05-21;19000
100501;2007-05-21;21000
100502;2007-05-22;14000
100503;2007-05-22;15000
100504;2007-05-22;17000
100505;2007-05-22;23000
100506;2007-05-22;23000
100507;2007-05-23;13000
100508;2007-05-23;16000
100509;2007-05-23;16000
100510;2007-05-23;19000
100511;2007-05-24;14000
100512;2007-05-24;14000
100513;2007-05-24;15000
100514;2007-05-24;16000
100515;2007-05-24;16000
100516;2007-05-24;21000
100517;2007-05-24;23000
100518;2007-05-24;24000
100519;2007-05-25;15000
100520;2007-05-25;17000
100521;2007-05-25;19000
100522;2007-05-26;14000
100523;2007-05-26;18000
100524;2007-05-26;19000
100525;2007-05-26;20000
100526;2007-05-26;20000
100527;2007-05-26;21000
100528;2007-05-26;22000
100529;2007-05-26;22000
100530;2007-05-26;24000
100531;2007-05-27;15000
100532;2007-05-27;18000
100533;2007-05-27;20000
100534;2007-05-28;13000
100535;2007-05-28;13000
100536;2007-05-28;15000
100537;2007-05-28;16000
100538;2007-05-28;16000
100539;2007-05-28;20000
100540;2007-05-28;23000
100541;2007-05-29;13000
100542;2007-05-29;14000
100543;2007-05-29;15000
100544;2007-05-30;13000
100545;2007-05-30;15000
100546;2007-05-30;18000
100547;2007-05-30;18000
100548;2007-05-30;18000
100549;2007-05-30;19000
100550;2007-05-30;20000
100551;2007-05-30;20000
100552;2007-05-30;21000
100553;2007-05-30;22000
100554;2007-05-31;13000
100555;2007-05-31;17000
100556;2007-05-31;20000
100557;2007-05-31;22000
100558;2007-05-31;23000
100559;2007-06-01;13000
100560;2007-06-01;15000
100561;2007-06-01;15000
100562;2007-06-01;15000
100563;2007-06-01;17000
100564;2007-06-01;19000
100565;2007-06-01;19000
100566;2007-06-01;22000
100567;2007-06-01;22000
100568;2007-06-01;23000
100569;2007-06-01;24000
100570;2007-06-01;24000
100571;2007-06-02;13000
100572;2007-06-02;13000
100573;2007-06-02;15000
100574;2007-06-02;15000
100575;2007-06-02;16000
100576;2007-06-02;16000
100577;2007-06-02;17000
100578;2007-06-02;18000
100579;2007-06-02;22000
100580;2007-06-02;22000
100581;2007-06-03;13000
100582;2007-06-03;14000
100583;2007-06-03;15000
100584;2007-06-03;16000
100585;2007-06-03;18000
100586;2007-06-03;20000
100587;2007-06-03;21000
100588;2007-06-04;15000
100589;2007-06-04;15000
100590;2007-06-04;18000
100591;2007-06-04;19000
100592;2007-06-04;22000
100593;2007-06-04;22000
100594;2007-06-05;13000
100595;2007-06-05;14000
100596;2007-06-05;15000
100597;2007-06-05;18000
100598;2007-06-05;18000
100599;2007-06-05;19000
100600;2007-06-05;21000
100601;2007-06-05;23000
100602;2007-06-06;18000
100603;2007-06-06;18000
100604;2007-06-06;20000
100605;2007-06-06;22000
100606;2007-06-06;24000
100607;2007-06-06;24000
100608;2007-06-07;16000
100609;2007-06-07;17000
100610;2007-06-07;20000
100611;2007-06-07;20000
100612;2007-06-07;20000
100613;2007-06-07;22000
100614;2007-06-07;22000
100615;2007-06-07;23000
100616;2007-06-07;24000
100617;2007-06-07;24000
100618;2007-06-07;24000
100619;2007-06-07;24000
100620;2007-06-08;13000
100621;2007-06-08;14000
100622;2007-06-08;15000
100623;2007-06-08;15000
100624;2007-06-08;15000
100625;2007-06-08;17000
100626;2007-06-08;17000
100627;2007-06-08;17000
100628;2007-06-08;20000
100629;2007-06-08;22000
100630;2007-06-08;22000
100631;2007-06-08;22000
100632;2007-06-09;13000
100633;2007-06-09;14000
100634;2007-06-09;14000
100635;2007-06-09;14000
100636;2007-06-09;15000
100637;2007-06-09;15000
100638;2007-06-09;16000
100639;2007-06-09;16000
100640;2007-06-09;17000
100641;2007-06-09;18000
100642;2007-06-09;18000
100643;2007-06-09;19000
100644;2007-06-09;21000
100645;2007-06-09;22000
100646;2007-06-09;22000
100647;2007-06-09;24000
100648;2007-06-10;13000
100649;2007-06-10;13000
100650;2007-06-10;13000
100651;2007-06-10;14000
100652;2007-06-10;15000
100653;2007-06-10;17000
100654;2007-06-10;17000
100655;2007-06-10;20000
100656;2007-06-10;20000
100657;2007-06-10;22000
100658;2007-06-10;22000
100659;2007-06-10;23000
100660;2007-06-10;24000
100661;2007-06-11;13000
100662;2007-06-11;14000
100663;2007-06-11;14000
100664;2007-06-11;14000
100665;2007-06-11;14000
100666;2007-06-11;15000
100667;2007-06-11;16000
100668;2007-06-11;17000
100669;2007-06-11;20000
100670;2007-06-11;21000
100671;2007-06-11;22000
100672;2007-06-11;22000
100673;2007-06-11;22000
100674;2007-06-11;22000
100675;2007-06-11;22000
100676;2007-06-11;23000
100677;2007-06-11;23000
100678;2007-06-11;23000
100679;2007-06-12;13000
100680;2007-06-12;13000
100681;2007-06-12;13000
100682;2007-06-12;14000
100683;2007-06-12;14000
100684;2007-06-12;15000
100685;2007-06-12;15000
100686;2007-06-12;16000
100687;2007-06-12;16000
100688;2007-06-12;16000
100689;2007-06-12;17000
100690;2007-06-12;22000
100691;2007-06-12;22000
100692;2007-06-12;23000
100693;2007-06-12;23000
100694;2007-06-12;23000
100695;2007-06-12;24000
100696;2007-06-13;15000
100697;2007-06-13;15000
100698;2007-06-13;15000
100699;2007-06-13;17000
100700;2007-06-13;17000
100701;2007-06-13;20000
100702;2007-06-13;22000
100703;2007-06-13;23000
100704;2007-06-13;24000
100705;2007-06-14;13000
100706;2007-06-14;14000
100707;2007-06-14;17000
100708;2007-06-14;19000
100709;2007-06-14;20000
100710;2007-06-14;20000
100711;2007-06-14;23000
100712;2007-06-15;13000
100713;2007-06-15;15000
100714;2007-06-15;15000
100715;2007-06-15;16000
100716;2007-06-15;16000
100717;2007-06-15;17000
100718;2007-06-15;17000
100719;2007-06-15;18000
100720;2007-06-15;20000
100721;2007-06-15;23000
100722;2007-06-16;14000
100723;2007-06-16;16000
100724;2007-06-16;19000
100725;2007-06-16;19000
100726;2007-06-16;19000
100727;2007-06-16;20000
100728;2007-06-16;23000
100729;2007-06-16;23000
100730;2007-06-16;24000
100731;2007-06-16;24000
100732;2007-06-17;23000
100733;2007-06-17;24000
100734;2007-06-18;13000
100735;2007-06-18;13000
100736;2007-06-18;13000
100737;2007-06-18;13000
100738;2007-06-18;14000
100739;2007-06-18;16000
100740;2007-06-18;22000
100741;2007-06-18;22000
100742;2007-06-19;14000
100743;2007-06-19;15000
100744;2007-06-19;15000
100745;2007-06-19;18000
100746;2007-06-19;19000
100747;2007-06-19;21000
100748;2007-06-19;22000
100749;2007-06-20;13000
100750;2007-06-20;15000
100751;2007-06-20;16000
100752;2007-06-20;19000
100753;2007-06-21;14000
100754;2007-06-21;14000
100755;2007-06-21;15000
100756;2007-06-21;15000
100757;2007-06-21;15000
100758;2007-06-21;15000
100759;2007-06-21;15000
100760;2007-06-21;16000
100761;2007-06-21;18000
100762;2007-06-21;19000
100763;2007-06-21;19000
100764;2007-06-21;20000
100765;2007-06-21;21000
100766;2007-06-21;22000
100767;2007-06-21;23000
100768;2007-06-22;14000
100769;2007-06-22;16000
100770;2007-06-22;19000
100771;2007-06-22;20000
100772;2007-06-22;22000
100773;2007-06-22;23000
100774;2007-06-22;23000
100775;2007-06-22;24000
100776;2007-06-23;13000
100777;2007-06-23;13000
100778;2007-06-23;14000
100779;2007-06-23;14000
100780;2007-06-23;15000
100781;2007-06-23;15000
100782;2007-06-23;15000
100783;2007-06-23;15000
100784;2007-06-23;17000
100785;2007-06-23;18000
100786;2007-06-23;18000
100787;2007-06-23;20000
100788;2007-06-23;23000
100789;2007-06-23;23000
100790;2007-06-24;14000
100791;2007-06-24;15000
100792;2007-06-24;19000
100793;2007-06-24;19000
100794;2007-06-24;22000
100795;2007-06-24;22000
100796;2007-06-24;23000
100797;2007-06-24;23000
100798;2007-06-24;24000
100799;2007-06-25;13000
100800;2007-06-25;13000
100801;2007-06-25;14000
100802;2007-06-25;14000
100803;2007-06-25;14000
100804;2007-06-25;15000
100805;2007-06-25;15000
100806;2007-06-25;16000
100807;2007-06-25;16000
100808;2007-06-25;16000
100809;2007-06-25;17000
100810;2007-06-25;19000
100811;2007-06-25;19000
100812;2007-06-25;19000
100813;2007-06-26;14000
100814;2007-06-26;17000
100815;2007-06-27;13000
100816;2007-06-27;13000
100817;2007-06-27;14000
100818;2007-06-27;16000
100819;2007-06-27;17000
100820;2007-06-27;18000
100821;2007-06-27;20000
100822;2007-06-27;20000
100823;2007-06-27;21000
100824;2007-06-27;23000
100825;2007-06-27;24000
100826;2007-06-28;16000
100827;2007-06-28;17000
100828;2007-06-28;18000
100829;2007-06-28;20000
100830;2007-06-28;20000
100831;2007-06-28;22000
100832;2007-06-28;22000
100833;2007-06-28;23000
100834;2007-06-28;23000
100835;2007-06-29;13000
100836;2007-06-29;14000
100837;2007-06-29;16000
100838;2007-06-29;16000
100839;2007-06-29;17000
100840;2007-06-29;22000
100841;2007-06-29;22000
100842;2007-06-29;23000
100843;2007-06-30;14000
100844;2007-06-30;14000
100845;2007-06-30;14000
100846;2007-06-30;15000
100847;2007-06-30;15000
100848;2007-06-30;15000
100849;2007-06-30;15000
100850;2007-06-30;16000
100851;2007-06-30;16000
100852;2007-06-30;17000
100853;2007-06-30;20000
100854;2007-06-30;22000
100855;2007-06-30;22000
100856;2007-06-30;22000
100857;2007-06-30;23000
100858;2007-06-30;24000
100859;2007-07-01;13000
100860;2007-07-01;13000
100861;2007-07-01;16000
100862;2007-07-01;20000
100863;2007-07-01;20000
100864;2007-07-01;20000
100865;2007-07-01;22000
100866;2007-07-01;23000
100867;2007-07-02;14000
100868;2007-07-02;20000
100869;2007-07-02;20000
100870;2007-07-02;23000
100871;2007-07-03;15000
100872;2007-07-03;15000
100873;2007-07-03;15000
100874;2007-07-03;17000
100875;2007-07-03;18000
100876;2007-07-03;18000
100877;2007-07-03;21000
100878;2007-07-03;23000
100879;2007-07-03;23000
100880;2007-07-04;21000
100881;2007-07-04;21000
100882;2007-07-05;15000
100883;2007-07-05;17000
100884;2007-07-06;14000
100885;2007-07-06;15000
100886;2007-07-06;18000
100887;2007-07-06;22000
100888;2007-07-06;23000
100889;2007-07-07;15000
100890;2007-07-07;18000
100891;2007-07-07;20000
100892;2007-07-07;22000
100893;2007-07-07;22000
100894;2007-07-07;22000
100895;2007-07-07;22000
100896;2007-07-07;22000
100897;2007-07-08;15000
100898;2007-07-08;22000
100899;2007-07-08;22000
100900;2007-07-09;13000
100901;2007-07-09;13000
100902;2007-07-09;15000
100903;2007-07-09;15000
100904;2007-07-09;16000
100905;2007-07-09;18000
100906;2007-07-10;13000
100907;2007-07-10;14000
100908;2007-07-10;19000
100909;2007-07-11;15000
100910;2007-07-11;15000
100911;2007-07-11;16000
100912;2007-07-11;20000
100913;2007-07-11;20000
100914;2007-07-11;23000
100915;2007-07-12;13000
100916;2007-07-12;15000
100917;2007-07-12;16000
100918;2007-07-12;20000
100919;2007-07-12;20000
100920;2007-07-13;13000
100921;2007-07-13;15000
100922;2007-07-13;15000
100923;2007-07-13;17000
100924;2007-07-13;17000
100925;2007-07-13;22000
100926;2007-07-14;14000
100927;2007-07-14;15000
100928;2007-07-14;18000
100929;2007-07-14;19000
100930;2007-07-14;20000
100931;2007-07-14;22000
100932;2007-07-15;15000
100933;2007-07-15;15000
100934;2007-07-15;16000
100935;2007-07-15;23000
100936;2007-07-16;18000
100937;2007-07-16;18000
100938;2007-07-16;21000
100939;2007-07-16;22000
100940;2007-07-17;14000
100941;2007-07-18;13000
100942;2007-07-18;15000
100943;2007-07-18;17000
100944;2007-07-18;18000
100945;2007-07-18;23000
100946;2007-07-18;23000
100947;2007-07-19;14000
100948;2007-07-19;15000
100949;2007-07-19;15000
100950;2007-07-19;22000
100951;2007-07-19;23000
100952;2007-07-20;13000
100953;2007-07-20;16000
100954;2007-07-20;19000
100955;2007-07-20;22000
100956;2007-07-20;23000
100957;2007-07-21;13000
100958;2007-07-22;15000
100959;2007-07-22;16000
100960;2007-07-22;18000
100961;2007-07-22;22000
100962;2007-07-22;22000
100963;2007-07-22;23000
100964;2007-07-23;13000
100965;2007-07-23;19000
100966;2007-07-23;19000
100967;2007-07-24;18000
100968;2007-07-24;19000
100969;2007-07-24;21000
100970;2007-07-24;23000
100971;2007-07-25;20000
100972;2007-07-26;13000
100973;2007-07-26;15000
100974;2007-07-26;16000
100975;2007-07-26;19000
100976;2007-07-26;23000
100977;2007-07-27;14000
100978;2007-07-27;19000
100979;2007-07-27;21000
100980;2007-07-27;21000
100981;2007-07-28;16000
100982;2007-07-28;18000
100983;2007-07-28;23000
100984;2007-07-28;24000
100985;2007-07-29;13000
100986;2007-07-29;15000
100987;2007-07-29;16000
100988;2007-07-29;17000
100989;2007-07-29;20000
100990;2007-07-29;23000
100991;2007-07-30;16000
100992;2007-07-30;18000
100993;2007-07-30;22000
100994;2007-07-30;23000
100995;2007-07-30;23000
100996;2007-07-31;13000
100997;2007-07-31;19000
100998;2007-07-31;19000
100999;2007-08-01;14000
101000;2007-08-01;14000
101001;2007-08-01;15000
101002;2007-08-01;15000
101003;2007-08-01;18000
101004;2007-08-01;19000
101005;2007-08-01;21000
101006;2007-08-01;23000
101007;2007-08-01;24000
101008;2007-08-02;14000
101009;2007-08-02;14000
101010;2007-08-02;17000
101011;2007-08-02;17000
101012;2007-08-02;21000
101013;2007-08-02;23000
101014;2007-08-02;24000
101015;2007-08-03;15000
101016;2007-08-03;16000
101017;2007-08-04;16000
101018;2007-08-04;20000
101019;2007-08-04;22000
101020;2007-08-04;23000
101021;2007-08-05;15000
101022;2007-08-05;17000
101023;2007-08-05;19000
101024;2007-08-05;22000
101025;2007-08-05;23000
101026;2007-08-06;15000
101027;2007-08-06;15000
101028;2007-08-06;18000
101029;2007-08-06;18000
101030;2007-08-06;24000
101031;2007-08-07;13000
101032;2007-08-07;24000
101033;2007-08-08;15000
101034;2007-08-08;16000
101035;2007-08-08;16000
101036;2007-08-08;21000
101037;2007-08-08;22000
101038;2007-08-09;17000
101039;2007-08-09;17000
101040;2007-08-09;18000
101041;2007-08-10;14000
101042;2007-08-10;17000
101043;2007-08-10;17000
101044;2007-08-10;18000
101045;2007-08-10;18000
101046;2007-08-10;22000
101047;2007-08-10;23000
101048;2007-08-10;24000
101049;2007-08-11;15000
101050;2007-08-11;16000
101051;2007-08-11;16000
101052;2007-08-11;16000
101053;2007-08-11;19000
101054;2007-08-11;23000
101055;2007-08-12;15000
101056;2007-08-12;15000
101057;2007-08-12;16000
101058;2007-08-12;17000
101059;2007-08-12;20000
101060;2007-08-12;20000
101061;2007-08-12;21000
101062;2007-08-12;22000
101063;2007-08-12;23000
101064;2007-08-13;14000
101065;2007-08-13;15000
101066;2007-08-13;20000
101067;2007-08-13;21000
101068;2007-08-13;22000
101069;2007-08-14;13000
101070;2007-08-14;14000
101071;2007-08-14;15000
101072;2007-08-14;23000
101073;2007-08-15;14000
101074;2007-08-15;15000
