SALESORDERID,SALESORDERITEM,PRODUCTID,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,QUANTITY,QUANTITYUNIT,DELIVERYDATE
500000013,40,RO-1001,USD,525,459.375,65.625,5,EA,20180321
500000013,50,CC-1023,USD,1361,1190.875,170.125,3,EA,20180321
500000013,60,EB-1133,USD,2250,1968.75,281.25,8,EA,20180321
500000013,70,CC-1022,USD,1200,1050.0,150.0,9,EA,20180321
500000013,80,RC-1051,USD,2499,2186.625,312.375,6,EA,20180321
500000014,10,CB-1161,USD,399,349.125,49.875,3,EA,20180315
500000014,20,DB-1082,USD,1250,1093.75,156.25,4,EA,20180315
500000014,30,DB-1081,USD,1499,1311.625,187.375,10,EA,20180315
500000014,40,BX-1011,USD,249,217.875,31.125,3,EA,20180315
500000014,50,CC-1022,USD,1200,1050.0,150.0,7,EA,20180315
500000014,60,CB-1162,USD,400,350.0,50.0,6,EA,20180315
500000015,10,DB-1083,USD,1199,1049.125,149.875,2,EA,20180403
500000015,20,CB-1162,USD,400,350.0,50.0,7,EA,20180403
500000015,30,MB-1033,USD,3999,3499.125,499.875,4,EA,20180403
500000016,10,RC-1052,USD,3999,3499.125,499.875,4,EA,20180307
500000016,20,BX-1012,USD,399,349.125,49.875,1,EA,20180307
500000016,30,RC-1052,USD,3999,3499.125,499.875,4,EA,20180307
500000016,40,EB-1133,USD,2250,1968.75,281.25,2,EA,20180307
500000016,50,EB-1132,USD,1900,1662.5,237.5,2,EA,20180307
500000017,10,RC-1057,USD,4999,4374.125,624.875,1,EA,20180305
500000017,20,DB-1083,USD,1199,1049.125,149.875,4,EA,20180305
500000017,30,RC-1053,USD,4599,4024.125,574.875,1,EA,20180305
500000017,40,DB-1081,USD,1499,1311.625,187.375,7,EA,20180305
500000017,50,BX-1011,USD,249,217.875,31.125,1,EA,20180305
500000017,60,EB-1132,USD,1900,1662.5,237.5,1,EA,20180305
500000017,70,RO-1001,USD,525,459.375,65.625,8,EA,20180305
500000017,80,RC-1054,USD,5499,4811.625,687.375,8,EA,20180305
500000018,10,BX-1016,USD,319,279.125,39.875,9,EA,20180328
500000019,10,DB-1082,USD,1250,1093.75,156.25,10,EA,20180401
500000019,20,RO-1001,USD,525,459.375,65.625,5,EA,20180401
500000019,30,DB-1083,USD,1199,1049.125,149.875,10,EA,20180401
500000019,40,CB-1162,USD,400,350.0,50.0,1,EA,20180401
500000020,10,CC-1023,USD,1361,1190.875,170.125,8,EA,20180322
500000020,20,EB-1136,USD,5000,4375.0,625.0,3,EA,20180322
500000020,30,MB-1033,USD,3999,3499.125,499.875,8,EA,20180322
500000021,10,HB-1174,USD,379,331.625,47.375,1,EA,20180411
500000022,10,EB-1132,USD,1900,1662.5,237.5,3,EA,20180330
500000022,20,DB-1082,USD,1250,1093.75,156.25,1,EA,20180330
500000023,10,CB-1163,USD,288,252.0,36.0,5,EA,20180323
500000023,20,HB-1176,USD,1199,1049.125,149.875,8,EA,20180323
500000023,30,RC-1053,USD,4599,4024.125,574.875,6,EA,20180323
500000023,40,DB-1083,USD,1199,1049.125,149.875,10,EA,20180323
500000023,50,EB-1132,USD,1900,1662.5,237.5,8,EA,20180323
500000023,60,RC-1051,USD,2499,2186.625,312.375,8,EA,20180323
500000024,10,HB-1172,USD,799,699.125,99.875,2,EA,20180402
500000024,20,CC-1023,USD,1361,1190.875,170.125,10,EA,20180402
500000024,30,BX-1013,USD,449,392.875,56.125,5,EA,20180402
500000024,40,CC-1021,USD,1144,1001.0,143.0,4,EA,20180402
500000024,50,RC-1056,USD,2499,2186.625,312.375,5,EA,20180402
500000024,60,EB-1135,USD,3000,2625.0,375.0,2,EA,20180402
500000024,70,CC-1023,USD,1361,1190.875,170.125,10,EA,20180402
500000024,80,CC-1022,USD,1200,1050.0,150.0,9,EA,20180402
500000024,90,CC-1023,USD,1361,1190.875,170.125,4,EA,20180402
500000024,100,MB-1034,USD,2499,2186.625,312.375,10,EA,20180402
500000025,10,RC-1056,USD,2499,2186.625,312.375,10,EA,20180325
500000025,20,HB-1173,USD,649,567.875,81.125,8,EA,20180325
500000025,30,RO-1003,USD,721,630.875,90.125,5,EA,20180325
500000025,40,BX-1013,USD,449,392.875,56.125,4,EA,20180325
500000025,50,MB-1034,USD,2499,2186.625,312.375,8,EA,20180325
500000026,10,DB-1081,USD,1499,1311.625,187.375,2,EA,20180412
500000026,20,DB-1083,USD,1199,1049.125,149.875,6,EA,20180412
500000026,30,BX-1013,USD,449,392.875,56.125,10,EA,20180412
500000026,40,HB-1175,USD,899,786.625,112.375,2,EA,20180412
500000026,50,BX-1011,USD,249,217.875,31.125,6,EA,20180412
500000026,60,RC-1056,USD,2499,2186.625,312.375,8,EA,20180412
500000026,70,EB-1136,USD,5000,4375.0,625.0,8,EA,20180412
500000026,80,HB-1175,USD,899,786.625,112.375,6,EA,20180412
500000026,90,CC-1023,USD,1361,1190.875,170.125,1,EA,20180412
500000026,100,CB-1161,USD,399,349.125,49.875,3,EA,20180412
500000027,10,HB-1171,USD,699,611.625,87.375,7,EA,20180420
500000027,20,RC-1052,USD,3999,3499.125,499.875,8,EA,20180420
500000027,30,RC-1055,USD,1999,1749.125,249.875,2,EA,20180420
500000027,40,HB-1171,USD,699,611.625,87.375,7,EA,20180420
500000027,50,CB-1163,USD,288,252.0,36.0,7,EA,20180420
500000027,60,BX-1014,USD,799,699.125,99.875,1,EA,20180420
500000027,70,CB-1161,USD,399,349.125,49.875,8,EA,20180420
500000027,80,EB-1133,USD,2250,1968.75,281.25,4,EA,20180420
500000027,90,EB-1132,USD,1900,1662.5,237.5,4,EA,20180420
500000027,100,RC-1052,USD,3999,3499.125,499.875,9,EA,20180420
500000028,10,EB-1136,USD,5000,4375.0,625.0,7,EA,20180330
500000028,20,MB-1033,USD,3999,3499.125,499.875,5,EA,20180330
500000028,30,CC-1023,USD,1361,1190.875,170.125,8,EA,20180330
500000028,40,RO-1003,USD,721,630.875,90.125,7,EA,20180330
500000029,10,HB-1172,USD,799,699.125,99.875,1,EA,20180402
500000029,20,BX-1014,USD,799,699.125,99.875,9,EA,20180402
500000029,30,RC-1054,USD,5499,4811.625,687.375,6,EA,20180402
500000029,40,BX-1013,USD,449,392.875,56.125,2,EA,20180402
500000029,50,EB-1132,USD,1900,1662.5,237.5,10,EA,20180402
500000029,60,EB-1133,USD,2250,1968.75,281.25,7,EA,20180402
500000029,70,RO-1001,USD,525,459.375,65.625,2,EA,20180402
500000029,80,HB-1172,USD,799,699.125,99.875,9,EA,20180402
500000029,90,CC-1022,USD,1200,1050.0,150.0,9,EA,20180402
500000030,10,HB-1173,USD,649,567.875,81.125,8,EA,20180325
500000030,20,EB-1134,USD,4800,4200.0,600.0,9,EA,20180325
500000030,30,BX-1013,USD,449,392.875,56.125,4,EA,20180325
500000030,40,RO-1003,USD,721,630.875,90.125,9,EA,20180325
500000030,50,HB-1173,USD,649,567.875,81.125,8,EA,20180325
500000030,60,HB-1174,USD,379,331.625,47.375,7,EA,20180325
500000030,70,DB-1082,USD,1250,1093.75,156.25,2,EA,20180325
500000030,80,EB-1133,USD,2250,1968.75,281.25,4,EA,20180325
500000031,10,CC-1021,USD,1144,1001.0,143.0,2,EA,20180408
500000031,20,CB-1163,USD,288,252.0,36.0,2,EA,20180408
500000031,30,RC-1053,USD,4599,4024.125,574.875,8,EA,20180408
500000031,40,BX-1012,USD,399,349.125,49.875,5,EA,20180408
500000031,50,RO-1003,USD,721,630.875,90.125,5,EA,20180408
500000031,60,DB-1083,USD,1199,1049.125,149.875,3,EA,20180408
500000031,70,HB-1171,USD,699,611.625,87.375,1,EA,20180408
500000032,10,HB-1174,USD,379,331.625,47.375,5,EA,20180419
500000032,20,RO-1002,USD,689,602.875,86.125,8,EA,20180419
500000032,30,EB-1134,USD,4800,4200.0,600.0,3,EA,20180419
500000032,40,CB-1163,USD,288,252.0,36.0,3,EA,20180419
500000032,50,RC-1056,USD,2499,2186.625,312.375,8,EA,20180419
500000032,60,BX-1012,USD,399,349.125,49.875,8,EA,20180419
500000032,70,EB-1132,USD,1900,1662.5,237.5,6,EA,20180419
500000033,10,MB-1033,USD,3999,3499.125,499.875,5,EA,20180401
500000033,20,EB-1131,USD,1500,1312.5,187.5,4,EA,20180401
500000033,30,HB-1176,USD,1199,1049.125,149.875,6,EA,20180401
500000033,40,RC-1052,USD,3999,3499.125,499.875,10,EA,20180401
500000034,10,BX-1015,USD,299,261.625,37.375,1,EA,20180504
500000034,20,DB-1082,USD,1250,1093.75,156.25,1,EA,20180504
500000034,30,RC-1052,USD,3999,3499.125,499.875,4,EA,20180504
500000034,40,HB-1175,USD,899,786.625,112.375,8,EA,20180504
500000034,50,CC-1022,USD,1200,1050.0,150.0,5,EA,20180504
500000035,10,EB-1137,USD,7900,6912.5,987.5,1,EA,20180430
500000035,20,EB-1132,USD,1900,1662.5,237.5,1,EA,20180430
500000035,30,EB-1134,USD,4800,4200.0,600.0,7,EA,20180430
500000035,40,RC-1056,USD,2499,2186.625,312.375,3,EA,20180430
500000036,10,HB-1172,USD,799,699.125,99.875,7,EA,20180414
500000036,20,EB-1137,USD,7900,6912.5,987.5,5,EA,20180414
500000036,30,CB-1163,USD,288,252.0,36.0,5,EA,20180414
500000036,40,RC-1057,USD,4999,4374.125,624.875,6,EA,20180414
500000036,50,CB-1162,USD,400,350.0,50.0,1,EA,20180414
500000036,60,EB-1136,USD,5000,4375.0,625.0,3,EA,20180414
500000036,70,HB-1171,USD,699,611.625,87.375,6,EA,20180414
500000036,80,BX-1016,USD,319,279.125,39.875,2,EA,20180414
500000037,10,BX-1015,USD,299,261.625,37.375,7,EA,20180507
500000037,20,DB-1081,USD,1499,1311.625,187.375,2,EA,20180507
500000037,30,BX-1016,USD,319,279.125,39.875,3,EA,20180507
500000038,10,EB-1132,USD,1900,1662.5,237.5,7,EA,20180501
500000038,20,EB-1136,USD,5000,4375.0,625.0,6,EA,20180501
500000038,30,BX-1013,USD,449,392.875,56.125,7,EA,20180501
500000039,10,RC-1054,USD,5499,4811.625,687.375,2,EA,20180424
500000039,20,EB-1133,USD,2250,1968.75,281.25,1,EA,20180424
500000040,10,EB-1135,USD,3000,2625.0,375.0,9,EA,20180505
500000040,20,CB-1163,USD,288,252.0,36.0,5,EA,20180505
500000040,30,EB-1134,USD,4800,4200.0,600.0,3,EA,20180505
500000040,40,CB-1161,USD,399,349.125,49.875,2,EA,20180505
500000041,10,BX-1014,USD,799,699.125,99.875,4,EA,20180501
500000041,20,BX-1016,USD,319,279.125,39.875,10,EA,20180501
500000041,30,CB-1161,USD,399,349.125,49.875,7,EA,20180501
500000041,40,DB-1082,USD,1250,1093.75,156.25,3,EA,20180501
500000041,50,BX-1015,USD,299,261.625,37.375,9,EA,20180501
500000041,60,EB-1136,USD,5000,4375.0,625.0,1,EA,20180501
500000041,70,BX-1015,USD,299,261.625,37.375,4,EA,20180501
500000041,80,HB-1174,USD,379,331.625,47.375,4,EA,20180501
500000041,90,RO-1003,USD,721,630.875,90.125,8,EA,20180501
500000042,10,BX-1013,USD,449,392.875,56.125,5,EA,20180421
500000042,20,DB-1081,USD,1499,1311.625,187.375,6,EA,20180421
500000042,30,DB-1081,USD,1499,1311.625,187.375,4,EA,20180421
500000042,40,EB-1132,USD,1900,1662.5,237.5,4,EA,20180421
500000042,50,CB-1161,USD,399,349.125,49.875,2,EA,20180421
500000042,60,HB-1173,USD,649,567.875,81.125,9,EA,20180421
500000043,10,EB-1135,USD,3000,2625.0,375.0,8,EA,20180425
500000043,20,HB-1176,USD,1199,1049.125,149.875,1,EA,20180425
500000043,30,EB-1131,USD,1500,1312.5,187.5,4,EA,20180425
500000043,40,CB-1161,USD,399,349.125,49.875,9,EA,20180425
500000043,50,RO-1002,USD,689,602.875,86.125,1,EA,20180425
500000044,10,BX-1016,USD,319,279.125,39.875,1,EA,20180429
500000044,20,BX-1011,USD,249,217.875,31.125,2,EA,20180429
500000044,30,BX-1013,USD,449,392.875,56.125,1,EA,20180429
500000045,10,EB-1135,USD,3000,2625.0,375.0,3,EA,20180507
500000046,10,BX-1014,USD,799,699.125,99.875,3,EA,20180508
500000046,20,CB-1163,USD,288,252.0,36.0,6,EA,20180508
500000046,30,RC-1054,USD,5499,4811.625,687.375,9,EA,20180508
500000046,40,BX-1012,USD,399,349.125,49.875,10,EA,20180508
500000046,50,EB-1135,USD,3000,2625.0,375.0,4,EA,20180508
500000046,60,RC-1055,USD,1999,1749.125,249.875,10,EA,20180508
500000046,70,HB-1174,USD,379,331.625,47.375,6,EA,20180508
500000046,80,CB-1161,USD,399,349.125,49.875,7,EA,20180508
500000046,90,BX-1013,USD,449,392.875,56.125,2,EA,20180508
500000047,10,CC-1021,USD,1144,1001.0,143.0,2,EA,20180503
500000048,10,DB-1081,USD,1499,1311.625,187.375,10,EA,20180505
500000048,20,RO-1003,USD,721,630.875,90.125,7,EA,20180505
500000048,30,CB-1163,USD,288,252.0,36.0,6,EA,20180505
500000048,40,RC-1055,USD,1999,1749.125,249.875,8,EA,20180505
500000048,50,DB-1083,USD,1199,1049.125,149.875,5,EA,20180505
500000048,60,BX-1011,USD,249,217.875,31.125,1,EA,20180505
500000048,70,MB-1032,USD,1299,1136.625,162.375,8,EA,20180505
500000048,80,CC-1021,USD,1144,1001.0,143.0,5,EA,20180505
500000049,10,CB-1161,USD,399,349.125,49.875,8,EA,20180518
500000049,20,BX-1011,USD,249,217.875,31.125,1,EA,20180518
500000049,30,HB-1172,USD,799,699.125,99.875,9,EA,20180518
500000049,40,BX-1011,USD,249,217.875,31.125,3,EA,20180518
500000049,50,DB-1081,USD,1499,1311.625,187.375,8,EA,20180518
500000049,60,RC-1057,USD,4999,4374.125,624.875,5,EA,20180518
500000049,70,DB-1081,USD,1499,1311.625,187.375,10,EA,20180518
500000049,80,BX-1015,USD,299,261.625,37.375,6,EA,20180518
500000049,90,BX-1011,USD,249,217.875,31.125,2,EA,20180518
500000049,100,RC-1057,USD,4999,4374.125,624.875,2,EA,20180518
500000050,10,DB-1083,USD,1199,1049.125,149.875,4,EA,20180512
500000050,20,CB-1161,USD,399,349.125,49.875,8,EA,20180512
500000050,30,EB-1134,USD,4800,4200.0,600.0,8,EA,20180512
500000050,40,EB-1136,USD,5000,4375.0,625.0,2,EA,20180512
500000051,10,BX-1011,USD,249,217.875,31.125,8,EA,20180511
500000051,20,DB-1083,USD,1199,1049.125,149.875,5,EA,20180511
500000051,30,RC-1055,USD,1999,1749.125,249.875,7,EA,20180511
500000052,10,HB-1173,USD,649,567.875,81.125,1,EA,20180531
500000052,20,RC-1051,USD,2499,2186.625,312.375,6,EA,20180531
500000053,10,CB-1161,USD,399,349.125,49.875,10,EA,20180527
500000053,20,MB-1032,USD,1299,1136.625,162.375,6,EA,20180527
500000053,30,RC-1055,USD,1999,1749.125,249.875,6,EA,20180527
500000054,10,CC-1021,USD,1144,1001.0,143.0,3,EA,20180601
500000054,20,DB-1081,USD,1499,1311.625,187.375,5,EA,20180601
500000054,30,RC-1052,USD,3999,3499.125,499.875,5,EA,20180601
500000054,40,HB-1172,USD,799,699.125,99.875,4,EA,20180601
500000054,50,CC-1022,USD,1200,1050.0,150.0,3,EA,20180601
500000055,10,BX-1011,USD,249,217.875,31.125,3,EA,20180518
500000055,20,RC-1052,USD,3999,3499.125,499.875,3,EA,20180518
500000055,30,RC-1052,USD,3999,3499.125,499.875,1,EA,20180518
500000055,40,RC-1051,USD,2499,2186.625,312.375,2,EA,20180518
500000055,50,RC-1053,USD,4599,4024.125,574.875,10,EA,20180518
500000055,60,RO-1003,USD,721,630.875,90.125,4,EA,20180518
500000056,10,EB-1135,USD,3000,2625.0,375.0,4,EA,20180608
500000056,20,EB-1134,USD,4800,4200.0,600.0,8,EA,20180608
500000056,30,EB-1134,USD,4800,4200.0,600.0,4,EA,20180608
500000056,40,CB-1161,USD,399,349.125,49.875,1,EA,20180608
500000056,50,EB-1134,USD,4800,4200.0,600.0,5,EA,20180608
500000056,60,CB-1163,USD,288,252.0,36.0,7,EA,20180608
500000056,70,RO-1002,USD,689,602.875,86.125,3,EA,20180608
500000057,10,RO-1002,USD,689,602.875,86.125,2,EA,20180528
500000057,20,HB-1171,USD,699,611.625,87.375,4,EA,20180528
500000057,30,HB-1175,USD,899,786.625,112.375,2,EA,20180528
500000057,40,CB-1163,USD,288,252.0,36.0,5,EA,20180528
500000057,50,HB-1174,USD,379,331.625,47.375,9,EA,20180528
500000057,60,EB-1131,USD,1500,1312.5,187.5,7,EA,20180528
500000057,70,HB-1176,USD,1199,1049.125,149.875,2,EA,20180528
500000057,80,CC-1021,USD,1144,1001.0,143.0,5,EA,20180528
500000058,10,MB-1033,USD,3999,3499.125,499.875,3,EA,20180530
500000058,20,CB-1163,USD,288,252.0,36.0,6,EA,20180530
500000058,30,CB-1163,USD,288,252.0,36.0,8,EA,20180530
500000058,40,EB-1133,USD,2250,1968.75,281.25,9,EA,20180530
500000058,50,HB-1176,USD,1199,1049.125,149.875,1,EA,20180530
500000058,60,MB-1033,USD,3999,3499.125,499.875,4,EA,20180530
500000058,70,EB-1133,USD,2250,1968.75,281.25,5,EA,20180530
500000058,80,RC-1055,USD,1999,1749.125,249.875,9,EA,20180530
500000059,10,RO-1001,USD,525,459.375,65.625,2,EA,20180604
500000059,20,RC-1052,USD,3999,3499.125,499.875,5,EA,20180604
500000059,30,MB-1031,USD,649,567.875,81.125,8,EA,20180604
500000059,40,HB-1174,USD,379,331.625,47.375,8,EA,20180604
500000059,50,BX-1011,USD,249,217.875,31.125,6,EA,20180604
500000059,60,EB-1136,USD,5000,4375.0,625.0,4,EA,20180604
500000060,10,EB-1134,USD,4800,4200.0,600.0,2,EA,20180527
500000060,20,EB-1131,USD,1500,1312.5,187.5,7,EA,20180527
500000060,30,RC-1055,USD,1999,1749.125,249.875,5,EA,20180527
500000060,40,CB-1163,USD,288,252.0,36.0,1,EA,20180527
500000060,50,MB-1031,USD,649,567.875,81.125,2,EA,20180527
500000060,60,BX-1013,USD,449,392.875,56.125,10,EA,20180527
500000060,70,CB-1163,USD,288,252.0,36.0,7,EA,20180527
500000060,80,MB-1032,USD,1299,1136.625,162.375,4,EA,20180527
500000060,90,MB-1033,USD,3999,3499.125,499.875,3,EA,20180527
500000061,10,EB-1134,USD,4800,4200.0,600.0,5,EA,20180529
500000061,20,BX-1015,USD,299,261.625,37.375,3,EA,20180529
500000061,30,CC-1023,USD,1361,1190.875,170.125,4,EA,20180529
500000061,40,HB-1172,USD,799,699.125,99.875,8,EA,20180529
500000061,50,HB-1173,USD,649,567.875,81.125,5,EA,20180529
500000061,60,HB-1173,USD,649,567.875,81.125,7,EA,20180529
500000061,70,HB-1175,USD,899,786.625,112.375,6,EA,20180529
500000061,80,CB-1162,USD,400,350.0,50.0,3,EA,20180529
500000061,90,CB-1161,USD,399,349.125,49.875,3,EA,20180529
500000062,10,BX-1014,USD,799,699.125,99.875,2,EA,20180620
500000063,10,MB-1032,USD,1299,1136.625,162.375,5,EA,20180612
500000063,20,MB-1033,USD,3999,3499.125,499.875,7,EA,20180612
500000063,30,EB-1136,USD,5000,4375.0,625.0,6,EA,20180612
500000063,40,HB-1174,USD,379,331.625,47.375,10,EA,20180612
500000063,50,RC-1054,USD,5499,4811.625,687.375,8,EA,20180612
500000063,60,CC-1023,USD,1361,1190.875,170.125,4,EA,20180612
500000063,70,EB-1137,USD,7900,6912.5,987.5,5,EA,20180612
500000064,10,CB-1163,USD,288,252.0,36.0,7,EA,20180622
500000064,20,BX-1012,USD,399,349.125,49.875,8,EA,20180622
500000064,30,EB-1134,USD,4800,4200.0,600.0,6,EA,20180622
500000064,40,HB-1173,USD,649,567.875,81.125,5,EA,20180622
500000064,50,RC-1056,USD,2499,2186.625,312.375,1,EA,20180622
500000064,60,EB-1136,USD,5000,4375.0,625.0,7,EA,20180622
500000064,70,RC-1055,USD,1999,1749.125,249.875,6,EA,20180622
500000065,10,CC-1023,USD,1361,1190.875,170.125,7,EA,20180621
500000065,20,EB-1131,USD,1500,1312.5,187.5,8,EA,20180621
500000065,30,BX-1013,USD,449,392.875,56.125,7,EA,20180621
500000065,40,BX-1013,USD,449,392.875,56.125,4,EA,20180621
500000065,50,RC-1057,USD,4999,4374.125,624.875,7,EA,20180621
500000065,60,BX-1016,USD,319,279.125,39.875,8,EA,20180621
500000065,70,HB-1176,USD,1199,1049.125,149.875,3,EA,20180621
500000065,80,CC-1023,USD,1361,1190.875,170.125,9,EA,20180621
500000066,10,MB-1031,USD,649,567.875,81.125,5,EA,20180606
500000067,10,EB-1135,USD,3000,2625.0,375.0,8,EA,20180617
500000067,20,BX-1014,USD,799,699.125,99.875,2,EA,20180617
500000067,30,HB-1172,USD,799,699.125,99.875,1,EA,20180617
500000067,40,RO-1002,USD,689,602.875,86.125,6,EA,20180617
500000068,10,CC-1021,USD,1144,1001.0,143.0,10,EA,20180706
500000068,20,EB-1137,USD,7900,6912.5,987.5,5,EA,20180706
500000068,30,CC-1023,USD,1361,1190.875,170.125,6,EA,20180706
500000068,40,BX-1012,USD,399,349.125,49.875,5,EA,20180706
500000069,10,HB-1176,USD,1199,1049.125,149.875,10,EA,20180618
500000069,20,EB-1132,USD,1900,1662.5,237.5,9,EA,20180618
500000069,30,HB-1174,USD,379,331.625,47.375,10,EA,20180618
500000069,40,BX-1015,USD,299,261.625,37.375,4,EA,20180618
500000069,50,BX-1015,USD,299,261.625,37.375,10,EA,20180618
500000069,60,HB-1176,USD,1199,1049.125,149.875,10,EA,20180618
500000069,70,EB-1133,USD,2250,1968.75,281.25,5,EA,20180618
500000070,10,RC-1053,USD,4599,4024.125,574.875,9,EA,20180617
500000070,20,HB-1173,USD,649,567.875,81.125,3,EA,20180617
500000070,30,RO-1003,USD,721,630.875,90.125,4,EA,20180617
500000070,40,BX-1012,USD,399,349.125,49.875,4,EA,20180617
500000070,50,HB-1174,USD,379,331.625,47.375,10,EA,20180617
500000071,10,CC-1022,USD,1200,1050.0,150.0,7,EA,20180622
500000071,20,HB-1175,USD,899,786.625,112.375,6,EA,20180622
500000071,30,BX-1011,USD,249,217.875,31.125,6,EA,20180622
500000071,40,CB-1161,USD,399,349.125,49.875,5,EA,20180622
500000071,50,HB-1176,USD,1199,1049.125,149.875,3,EA,20180622
500000072,10,CB-1161,USD,399,349.125,49.875,6,EA,20180709
500000072,20,EB-1133,USD,2250,1968.75,281.25,3,EA,20180709
500000072,30,BX-1013,USD,449,392.875,56.125,2,EA,20180709
500000072,40,EB-1137,USD,7900,6912.5,987.5,7,EA,20180709
